"exposureName","conditionClass","milConflictCode","exposureValue","hasConditionClass","Freq","Percent","splitGroup"
"Chemical Alarms/MOPP4","Infectious Conditions","OIF/OEF/OND",NA,NA,26,33.56,"Second Third"
"Chemical Alarms/MOPP4","Infectious Conditions","OIF/OEF/OND",NA,NA,14,15.31,"Last Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,25,16.56,"Last Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,5,9.9,"Last Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","ODSS",NA,NA,65,76.68,"Last Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,7,10.28,"First Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","ODSS",NA,NA,31,46.45,"Second Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,2,6.32,"Last Third"
"Chemical Alarms/MOPP4","Musculoskeletal Conditions","ODSS",NA,NA,31,50.1,"First Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,16,15.29,"Second Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,3,7.53,"Second Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,66,69.69,"First Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,9,14.79,"Second Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,36,41.13,"First Third"
"Chemical Alarms/MOPP4","Neoplasms","OIF/OEF/OND",NA,NA,4,6.9,"Second Third"
"Chemical Alarms/MOPP4","Neoplasms","ODSS",NA,NA,31,36.29,"First Third"
"Chemical Alarms/MOPP4","Neoplasms","ODSS",NA,NA,10,9.37,"Second Third"
"Chemical Alarms/MOPP4","Neurological Conditions","ODSS",NA,NA,7,0.71,"Second Third"
"Chemical Alarms/MOPP4","Neurological Conditions","OIF/OEF/OND",NA,NA,16,16.61,"Last Third"
"Chemical Alarms/MOPP4","Neurological Conditions","ODSS",NA,NA,9,5.05,"Last Third"
"Chemical Alarms/MOPP4","Neurological Conditions","ODSS",NA,NA,71,81.18,"First Third"
"Chemical Alarms/MOPP4","Neurological Conditions","OIF/OEF/OND",NA,NA,11,12.42,"First Third"
"Chemical Alarms/MOPP4","Neurological Conditions","OIF/OEF/OND",NA,NA,30,40.27,"Second Third"
"Chemical Alarms/MOPP4","Neurological Conditions","OIF/OEF/OND",NA,NA,7,5.43,"Last Third"
"Chemical Alarms/MOPP4","Neurological Conditions","OIF/OEF/OND",NA,NA,31,46.01,"First Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,15,17.9,"Last Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,4,6.21,"Second Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,77,78.03,"First Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,6,7.39,"Last Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,44,51.86,"Second Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,33,42.58,"Last Third"
"Chemical Alarms/MOPP4","Nutritional and Metabolic Diseases","ODSS",NA,NA,2,0.57,"Last Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,5,0.09,"First Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,11,15.99,"Last Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","OIF/OEF/OND",NA,NA,12,12.63,"Second Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,68,66.75,"First Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,10,6.53,"Second Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,38,45.67,"First Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","ODSS",NA,NA,2,12.64,"First Third"
"Chemical Alarms/MOPP4","Psychiatric Conditions","OIF/OEF/OND",NA,NA,34,38.55,"Last Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","ODSS",NA,NA,5,4,"Second Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","OIF/OEF/OND",NA,NA,11,16.43,"First Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","ODSS",NA,NA,39,49.42,"Second Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","ODSS",NA,NA,36,41.71,"Last Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","OIF/OEF/OND",NA,NA,22,23.85,"First Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","OIF/OEF/OND",NA,NA,20,26.14,"Second Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","ODSS",NA,NA,17,25.76,"Last Third"
"Chemical Alarms/MOPP4","Respiratory Conditions","ODSS",NA,NA,18,31.61,"Last Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,8,12.77,"Second Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,3,10.1,"Last Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,29,35.04,"First Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,50,51.64,"Last Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,19,29.19,"Second Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","OIF/OEF/OND",NA,NA,19,18.66,"Second Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","ODSS",NA,NA,15,21.4,"First Third"
"Chemical Alarms/MOPP4","Sensory Organ Disease","ODSS",NA,NA,20,27.18,"Last Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","ODSS",NA,NA,13,13.23,"Last Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","ODSS",NA,NA,1,2.32,"First Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,58,63.05,"Last Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,15,16.14,"Second Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,35,53.49,"Last Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,3,5.16,"Last Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","ODSS",NA,NA,32,42.88,"First Third"
"Chemical Alarms/MOPP4","Substance Abuse Disorders","ODSS",NA,NA,2,5.84,"Last Third"
"Chemical Solvents","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,5,7.91,"Last Third"
"Chemical Solvents","Cardiovascular Conditions","ODSS",NA,NA,16,17.97,"Last Third"
"Chemical Solvents","Cardiovascular Conditions","ODSS",NA,NA,25,21.22,"First Third"
"Chemical Solvents","Cardiovascular Conditions","ODSS",NA,NA,42,45.95,"First Third"
"Chemical Solvents","Cardiovascular Conditions","ODSS",NA,NA,6,7.77,"Second Third"
"Chemical Solvents","Cardiovascular Conditions","ODSS",NA,NA,5,4.8,"Second Third"
"Chemical Solvents","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,29,28.43,"First Third"
"Chemical Solvents","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,33,47.68,"First Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,15,5.67,"First Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,12,18.45,"First Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,38,44.78,"Last Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,24,28.56,"Last Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,10,14.63,"Last Third"
"Chemical Solvents","Chronic Multisymptom Disorder","ODSS",NA,NA,2,5.03,"Last Third"
"Chemical Solvents","Chronic Multisymptom Disorder","ODSS",NA,NA,47,63.48,"Second Third"
"Chemical Solvents","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,12,19.13,"First Third"
"Chemical Solvents","Dermatological Conditions","OIF/OEF/OND",NA,NA,19,24.01,"Last Third"
"Chemical Solvents","Dermatological Conditions","OIF/OEF/OND",NA,NA,1,2.46,"First Third"
"Chemical Solvents","Dermatological Conditions","OIF/OEF/OND",NA,NA,59,68.59,"Second Third"
"Chemical Solvents","Dermatological Conditions","OIF/OEF/OND",NA,NA,9,10.05,"Second Third"
"Chemical Solvents","Dermatological Conditions","ODSS",NA,NA,5,15.58,"First Third"
"Chemical Solvents","Dermatological Conditions","ODSS",NA,NA,2,1.66,"Second Third"
"Chemical Solvents","Dermatological Conditions","OIF/OEF/OND",NA,NA,60,81.65,"First Third"
"Chemical Solvents","Dermatological Conditions","ODSS",NA,NA,4,6.9,"Last Third"
"Chemical Solvents","Endocrine Disorders","OIF/OEF/OND",NA,NA,22,16.01,"First Third"
"Chemical Solvents","Endocrine Disorders","ODSS",NA,NA,8,6.49,"Second Third"
"Chemical Solvents","Endocrine Disorders","ODSS",NA,NA,46,49.94,"Last Third"
"Chemical Solvents","Endocrine Disorders","OIF/OEF/OND",NA,NA,26,26.34,"Second Third"
"Chemical Solvents","Endocrine Disorders","OIF/OEF/OND",NA,NA,12,23.42,"First Third"
"Chemical Solvents","Endocrine Disorders","ODSS",NA,NA,3,12.57,"First Third"
"Chemical Solvents","Endocrine Disorders","OIF/OEF/OND",NA,NA,49,72.24,"First Third"
"Chemical Solvents","Endocrine Disorders","OIF/OEF/OND",NA,NA,9,12.88,"Second Third"
"Chemical Solvents","Gastrointestinal Conditions","ODSS",NA,NA,5,10.5,"Last Third"
"Chemical Solvents","Gastrointestinal Conditions","ODSS",NA,NA,19,19.7,"First Third"
"Chemical Solvents","Gastrointestinal Conditions","ODSS",NA,NA,32,36.47,"Second Third"
"Chemical Solvents","Gastrointestinal Conditions","ODSS",NA,NA,32,45.82,"First Third"
"Chemical Solvents","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,5,7.77,"Last Third"
"Chemical Solvents","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,10,9.26,"First Third"
"Chemical Solvents","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,28,34.06,"First Third"
"Chemical Solvents","Gastrointestinal Conditions","ODSS",NA,NA,26,47.43,"First Third"
"Chemical Solvents","Genitourinary System Diseases","ODSS",NA,NA,19,18.22,"First Third"
"Chemical Solvents","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,8,7.72,"Second Third"
"Chemical Solvents","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,55,64.53,"First Third"
"Chemical Solvents","Genitourinary System Diseases","ODSS",NA,NA,12,22.61,"First Third"
"Chemical Solvents","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,3,13.39,"Last Third"
"Chemical Solvents","Genitourinary System Diseases","ODSS",NA,NA,5,8.91,"Last Third"
"Chemical Solvents","Genitourinary System Diseases","ODSS",NA,NA,55,71.76,"Last Third"
"Chemical Solvents","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,10,17.85,"Second Third"
"Chemical Solvents","Heatstroke and Sunstroke","ODSS",NA,NA,24,22.18,"Last Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,9,8.66,"Second Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,53,56.57,"Last Third"
"Chemical Solvents","Heatstroke and Sunstroke","ODSS",NA,NA,17,15.72,"First Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,13,16.7,"First Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,2,0.12,"First Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,51,74.93,"Last Third"
"Chemical Solvents","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,16,21.57,"First Third"
"Chemical Solvents","Hematological Conditions","ODSS",NA,NA,21,26.1,"Second Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,4,1.49,"Last Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,59,68.11,"Last Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,1,5.58,"First Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,16,14.7,"Last Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,56,76.4,"First Third"
"Chemical Solvents","Hematological Conditions","OIF/OEF/OND",NA,NA,8,4.03,"Second Third"
"Chemical Solvents","Immune System Disorders","ODSS",NA,NA,15,11.92,"First Third"
"Chemical Solvents","Immune System Disorders","ODSS",NA,NA,11,6.65,"Last Third"
"Chemical Solvents","Immune System Disorders","OIF/OEF/OND",NA,NA,31,35.71,"Last Third"
"Chemical Solvents","Immune System Disorders","OIF/OEF/OND",NA,NA,35,40.52,"Last Third"
"Chemical Solvents","Immune System Disorders","ODSS",NA,NA,7,4.83,"Last Third"
"Chemical Solvents","Immune System Disorders","ODSS",NA,NA,9,0.16,"Second Third"
"Chemical Solvents","Immune System Disorders","ODSS",NA,NA,22,36.53,"Second Third"
"Chemical Solvents","Immune System Disorders","OIF/OEF/OND",NA,NA,36,46.34,"First Third"
"Chemical Solvents","Infectious Conditions","OIF/OEF/OND",NA,NA,7,6.91,"Last Third"
"Chemical Solvents","Infectious Conditions","OIF/OEF/OND",NA,NA,11,14.26,"Last Third"
"Chemical Solvents","Infectious Conditions","ODSS",NA,NA,39,46.41,"Last Third"
"Chemical Solvents","Infectious Conditions","ODSS",NA,NA,23,30.92,"Second Third"
"Chemical Solvents","Infectious Conditions","ODSS",NA,NA,9,12.67,"First Third"
"Chemical Solvents","Infectious Conditions","OIF/OEF/OND",NA,NA,3,10.1,"First Third"
"Chemical Solvents","Infectious Conditions","ODSS",NA,NA,39,48.52,"Second Third"
"Chemical Solvents","Infectious Conditions","OIF/OEF/OND",NA,NA,23,28.13,"Last Third"
"Chemical Solvents","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,2,0.1,"Last Third"
"Chemical Solvents","Musculoskeletal Conditions","ODSS",NA,NA,23,20.78,"Second Third"
"Chemical Solvents","Musculoskeletal Conditions","ODSS",NA,NA,10,5.2,"Last Third"
"Chemical Solvents","Musculoskeletal Conditions","ODSS",NA,NA,60,66.52,"Last Third"
"Chemical Solvents","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,6,6.28,"First Third"
"Chemical Solvents","Musculoskeletal Conditions","ODSS",NA,NA,11,14.77,"First Third"
"Chemical Solvents","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,12,10.63,"First Third"
"Chemical Solvents","Musculoskeletal Conditions","ODSS",NA,NA,52,67.98,"Last Third"
"Chemical Solvents","Neoplasms","OIF/OEF/OND",NA,NA,21,18.46,"Last Third"
"Chemical Solvents","Neoplasms","ODSS",NA,NA,2,1.23,"Second Third"
"Chemical Solvents","Neoplasms","ODSS",NA,NA,54,66.82,"First Third"
"Chemical Solvents","Neoplasms","OIF/OEF/OND",NA,NA,8,2.09,"Last Third"
"Chemical Solvents","Neoplasms","OIF/OEF/OND",NA,NA,5,12.19,"Second Third"
"Chemical Solvents","Neoplasms","ODSS",NA,NA,5,8.13,"Second Third"
"Chemical Solvents","Neoplasms","OIF/OEF/OND",NA,NA,52,75.6,"Last Third"
"Chemical Solvents","Neoplasms","ODSS",NA,NA,10,11.59,"Second Third"
"Chemical Solvents","Neurological Conditions","ODSS",NA,NA,1,3.3,"Last Third"
"Chemical Solvents","Neurological Conditions","ODSS",NA,NA,15,26.48,"Last Third"
"Chemical Solvents","Neurological Conditions","OIF/OEF/OND",NA,NA,7,3.57,"Last Third"
"Chemical Solvents","Neurological Conditions","ODSS",NA,NA,59,67.93,"Last Third"
"Chemical Solvents","Neurological Conditions","OIF/OEF/OND",NA,NA,6,6.24,"Second Third"
"Chemical Solvents","Neurological Conditions","ODSS",NA,NA,7,18.55,"Last Third"
"Chemical Solvents","Neurological Conditions","ODSS",NA,NA,19,22.5,"Last Third"
"Chemical Solvents","Neurological Conditions","OIF/OEF/OND",NA,NA,47,62.6,"First Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,28,24.34,"First Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,1,0.86,"Last Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","ODSS",NA,NA,72,64.55,"First Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","ODSS",NA,NA,1,8.57,"Second Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,10,16.8,"First Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","ODSS",NA,NA,1,1.18,"Second Third"
"Chemical Solvents","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,58,83.74,"First Third"
"Chemical Solvents","Psychiatric Conditions","OIF/OEF/OND",NA,NA,5,0.6,"First Third"
"Chemical Solvents","Psychiatric Conditions","OIF/OEF/OND",NA,NA,17,27.87,"First Third"
"Chemical Solvents","Psychiatric Conditions","OIF/OEF/OND",NA,NA,10,13.41,"Last Third"
"Chemical Solvents","Psychiatric Conditions","ODSS",NA,NA,55,55.46,"First Third"
"Chemical Solvents","Psychiatric Conditions","OIF/OEF/OND",NA,NA,3,4.47,"First Third"
"Chemical Solvents","Psychiatric Conditions","ODSS",NA,NA,10,8.92,"Last Third"
"Chemical Solvents","Psychiatric Conditions","OIF/OEF/OND",NA,NA,8,13.88,"Last Third"
"Chemical Solvents","Psychiatric Conditions","ODSS",NA,NA,52,66.99,"Second Third"
"Chemical Solvents","Respiratory Conditions","ODSS",NA,NA,12,16.17,"First Third"
"Chemical Solvents","Respiratory Conditions","ODSS",NA,NA,12,7.98,"Last Third"
"Chemical Solvents","Respiratory Conditions","OIF/OEF/OND",NA,NA,40,31.34,"Second Third"
"Chemical Solvents","Respiratory Conditions","OIF/OEF/OND",NA,NA,34,34.67,"First Third"
"Chemical Solvents","Respiratory Conditions","ODSS",NA,NA,7,8.63,"First Third"
"Chemical Solvents","Respiratory Conditions","ODSS",NA,NA,0,10.2,"Last Third"
"Chemical Solvents","Respiratory Conditions","OIF/OEF/OND",NA,NA,29,50.34,"First Third"
"Chemical Solvents","Respiratory Conditions","ODSS",NA,NA,34,44.28,"Last Third"
"Chemical Solvents","Sensory Organ Disease","OIF/OEF/OND",NA,NA,9,7.44,"First Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,11,6.63,"First Third"
"Chemical Solvents","Sensory Organ Disease","OIF/OEF/OND",NA,NA,37,35.83,"First Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,34,36.29,"Last Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,6,7.25,"First Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,6,3.71,"Last Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,34,48.89,"Last Third"
"Chemical Solvents","Sensory Organ Disease","ODSS",NA,NA,25,38.86,"Second Third"
"Chemical Solvents","Substance Abuse Disorders","ODSS",NA,NA,23,26.84,"Second Third"
"Chemical Solvents","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,7,1.03,"First Third"
"Chemical Solvents","Substance Abuse Disorders","ODSS",NA,NA,50,54,"Second Third"
"Chemical Solvents","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,13,8.91,"Second Third"
"Chemical Solvents","Substance Abuse Disorders","ODSS",NA,NA,7,14.53,"First Third"
"Chemical Solvents","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,2,4.77,"Second Third"
"Chemical Solvents","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,52,75.07,"First Third"
"Chemical Solvents","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,10,11.2,"First Third"
"Chemical Weapons","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,14,13.42,"First Third"
"Chemical Weapons","Cardiovascular Conditions","ODSS",NA,NA,9,31.2,"Second Third"
"Chemical Weapons","Cardiovascular Conditions","ODSS",NA,NA,6,17.4,"Second Third"
"Chemical Weapons","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,20,39.36,"Second Third"
"Chemical Weapons","Cardiovascular Conditions","ODSS",NA,NA,20,38.74,"First Third"
"Chemical Weapons","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,28,51.18,"Second Third"
"Chemical Weapons","Cardiovascular Conditions","ODSS",NA,NA,1,5.27,"Second Third"
"Chemical Weapons","Cardiovascular Conditions","ODSS",NA,NA,11,10.05,"Second Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,5,28.55,"Last Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,7,23.51,"Second Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,7,17.35,"Last Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,19,45.63,"Last Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,35,67.53,"Last Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,10,15.78,"Last Third"
"Chemical Weapons","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,3,10.75,"First Third"
"Chemical Weapons","Chronic Multisymptom Disorder","ODSS",NA,NA,1,1.38,"First Third"
"Chemical Weapons","Dermatological Conditions","ODSS",NA,NA,14,41.17,"Last Third"
"Chemical Weapons","Dermatological Conditions","ODSS",NA,NA,20,41.32,"First Third"
"Chemical Weapons","Dermatological Conditions","OIF/OEF/OND",NA,NA,6,13.99,"First Third"
"Chemical Weapons","Dermatological Conditions","ODSS",NA,NA,36,81.47,"Second Third"
"Chemical Weapons","Dermatological Conditions","OIF/OEF/OND",NA,NA,9,7.97,"Second Third"
"Chemical Weapons","Dermatological Conditions","OIF/OEF/OND",NA,NA,2,20.69,"Last Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,11,30.26,"First Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,12,12.14,"Second Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,16,39.85,"First Third"
"Chemical Weapons","Endocrine Disorders","OIF/OEF/OND",NA,NA,7,17.94,"Second Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,37,87.61,"First Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,1,9.29,"Second Third"
"Chemical Weapons","Endocrine Disorders","ODSS",NA,NA,3,6.39,"Second Third"
"Chemical Weapons","Endocrine Disorders","OIF/OEF/OND",NA,NA,6,1.64,"Second Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,3,16.08,"Second Third"
"Chemical Weapons","Gastrointestinal Conditions","ODSS",NA,NA,9,24.34,"Second Third"
"Chemical Weapons","Gastrointestinal Conditions","ODSS",NA,NA,11,18.76,"Second Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,19,43.37,"Last Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,25,45.41,"First Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,14,48.82,"Last Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,3,6.66,"Second Third"
"Chemical Weapons","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,6,4.94,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,17,32.37,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,5,5.87,"First Third"
"Chemical Weapons","Genitourinary System Diseases","ODSS",NA,NA,21,43.68,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","ODSS",NA,NA,9,11.67,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","ODSS",NA,NA,37,73.84,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","ODSS",NA,NA,11,20.21,"Last Third"
"Chemical Weapons","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,5,1.15,"Second Third"
"Chemical Weapons","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,4,1.3,"First Third"
"Chemical Weapons","Heatstroke and Sunstroke","ODSS",NA,NA,18,39.44,"Last Third"
"Chemical Weapons","Heatstroke and Sunstroke","ODSS",NA,NA,3,8.12,"First Third"
"Chemical Weapons","Heatstroke and Sunstroke","ODSS",NA,NA,22,32.05,"Second Third"
"Chemical Weapons","Heatstroke and Sunstroke","ODSS",NA,NA,7,17.38,"Last Third"
"Chemical Weapons","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,45,80.21,"Last Third"
"Chemical Weapons","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,1,1.84,"First Third"
"Chemical Weapons","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,8,4.75,"Last Third"
"Chemical Weapons","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,8,9.24,"First Third"
"Chemical Weapons","Hematological Conditions","ODSS",NA,NA,23,40.01,"Second Third"
"Chemical Weapons","Hematological Conditions","ODSS",NA,NA,2,7.1,"Second Third"
"Chemical Weapons","Hematological Conditions","ODSS",NA,NA,27,52.91,"Second Third"
"Chemical Weapons","Hematological Conditions","OIF/OEF/OND",NA,NA,3,9.81,"Last Third"
"Chemical Weapons","Hematological Conditions","ODSS",NA,NA,35,79.12,"Second Third"
"Chemical Weapons","Hematological Conditions","OIF/OEF/OND",NA,NA,3,7.15,"Last Third"
"Chemical Weapons","Hematological Conditions","ODSS",NA,NA,9,12.05,"Last Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,11,15.65,"First Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,11,22.97,"Second Third"
"Chemical Weapons","Immune System Disorders","OIF/OEF/OND",NA,NA,12,30.68,"First Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,10,29.5,"First Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,21,35.16,"Second Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,19,38.16,"Last Third"
"Chemical Weapons","Immune System Disorders","OIF/OEF/OND",NA,NA,5,4.85,"Second Third"
"Chemical Weapons","Immune System Disorders","ODSS",NA,NA,10,2.54,"Last Third"
"Chemical Weapons","Infectious Conditions","OIF/OEF/OND",NA,NA,7,18.64,"First Third"
"Chemical Weapons","Infectious Conditions","OIF/OEF/OND",NA,NA,13,27.4,"Last Third"
"Chemical Weapons","Infectious Conditions","ODSS",NA,NA,10,25.61,"Last Third"
"Chemical Weapons","Infectious Conditions","ODSS",NA,NA,7,23.26,"First Third"
"Chemical Weapons","Infectious Conditions","OIF/OEF/OND",NA,NA,25,56.42,"Last Third"
"Chemical Weapons","Infectious Conditions","ODSS",NA,NA,12,40.51,"Second Third"
"Chemical Weapons","Infectious Conditions","OIF/OEF/OND",NA,NA,5,9.14,"First Third"
"Chemical Weapons","Infectious Conditions","OIF/OEF/OND",NA,NA,1,4.78,"First Third"
